Название статьи;Автор;Журнал;Область
За пределами Стандартной модели суперсимметрия и суперпартнеры;Интервью Бориса Штерна с Дмитрием Казаковым;«Троицкий вариант» №22,  2022;Физика элементарных частиц
Почему нет консенсуса? ;Павел Амнуэль;«Троицкий вариант» №22,  2022;Физика
«Всё, что движется»: суперпозиция слоев;Дмитрий Баюк;«Троицкий вариант» №20,  2022;Физика
Под знаком жука-светляка;Пётр Петров;«Троицкий вариант» №17,  2022;Энтомология
«Пожилые были полны энтузиазма, а молодые не верили»;Евгений Беркович;«Троицкий вариант» №13,  2022;Квантовая теория
title;author;journal;science
Двухэтажное торнадо;Игорь Наумов, Владимир Штерн;«Природа» №4, 2021;Физика
«Вирус», «маска» — где гарантия?;Анатолий Минеев;«Квант» №11–12, 2020;Физика
Три вида теплопередачи;Валерия Сирота;«Квантик» №7, 2022;Физика
Физика, геометрия и красота;Андрей Варламов, Жак Виллен, Аттилио Ригамонти;«Квант» №10, 2020;Физика
Удивительные фломастеры;Евгений Выродов;«Квантик» №6, 2022;Оптика
За пределами Стандартной модели суперсимметрия и суперпартнеры;Интервью Бориса Штерна с Дмитрием Казаковым;«Троицкий вариант» №22,  2022;Физика элементарных частиц
Почему нет консенсуса? ;Павел Амнуэль;«Троицкий вариант» №22,  2022;Физика
«Всё, что движется»: суперпозиция слоев;Дмитрий Баюк;«Троицкий вариант» №20,  2022;Физика
Под знаком жука-светляка;Пётр Петров;«Троицкий вариант» №17,  2022;Энтомология
«Пожилые были полны энтузиазма, а молодые не верили»;Евгений Беркович;«Троицкий вариант» №13,  2022;Квантовая теория
title;author;journal;science
Двухэтажное торнадо;Игорь Наумов, Владимир Штерн;«Природа» №4, 2021;Физика
«Вирус», «маска» — где гарантия?;Анатолий Минеев;«Квант» №11–12, 2020;Физика
Три вида теплопередачи;Валерия Сирота;«Квантик» №7, 2022;Физика
Физика, геометрия и красота;Андрей Варламов, Жак Виллен, Аттилио Ригамонти;«Квант» №10, 2020;Физика
Удивительные фломастеры;Евгений Выродов;«Квантик» №6, 2022;Оптика
За пределами Стандартной модели суперсимметрия и суперпартнеры;Интервью Бориса Штерна с Дмитрием Казаковым;«Троицкий вариант» №22,  2022;Физика элементарных частиц
Почему нет консенсуса? ;Павел Амнуэль;«Троицкий вариант» №22,  2022;Физика
«Всё, что движется»: суперпозиция слоев;Дмитрий Баюк;«Троицкий вариант» №20,  2022;Физика
Под знаком жука-светляка;Пётр Петров;«Троицкий вариант» №17,  2022;Энтомология
«Пожилые были полны энтузиазма, а молодые не верили»;Евгений Беркович;«Троицкий вариант» №13,  2022;Квантовая теория
Двухэтажное торнадо;Игорь Наумов, Владимир Штерн;«Природа» №4, 2021;Физика
«Вирус», «маска» — где гарантия?;Анатолий Минеев;«Квант» №11–12, 2020;Физика
Три вида теплопередачи;Валерия Сирота;«Квантик» №7, 2022;Физика
Физика, геометрия и красота;Андрей Варламов, Жак Виллен, Аттилио Ригамонти;«Квант» №10, 2020;Физика
Удивительные фломастеры;Евгений Выродов;«Квантик» №6, 2022;Оптика
За пределами Стандартной модели суперсимметрия и суперпартнеры;Интервью Бориса Штерна с Дмитрием Казаковым;«Троицкий вариант» №22,  2022;Физика элементарных частиц
Почему нет консенсуса? ;Павел Амнуэль;«Троицкий вариант» №22,  2022;Физика
«Всё, что движется»: суперпозиция слоев;Дмитрий Баюк;«Троицкий вариант» №20,  2022;Физика
Под знаком жука-светляка;Пётр Петров;«Троицкий вариант» №17,  2022;Энтомология
«Пожилые были полны энтузиазма, а молодые не верили»;Евгений Беркович;«Троицкий вариант» №13,  2022;Квантовая теория
title;author;journal;science
Двухэтажное торнадо;Игорь Наумов, Владимир Штерн;«Природа» №4, 2021;Физика
«Вирус», «маска» — где гарантия?;Анатолий Минеев;«Квант» №11–12, 2020;Физика
Три вида теплопередачи;Валерия Сирота;«Квантик» №7, 2022;Физика
Физика, геометрия и красота;Андрей Варламов, Жак Виллен, Аттилио Ригамонти;«Квант» №10, 2020;Физика
Удивительные фломастеры;Евгений Выродов;«Квантик» №6, 2022;Оптика
За пределами Стандартной модели суперсимметрия и суперпартнеры;Интервью Бориса Штерна с Дмитрием Казаковым;«Троицкий вариант» №22,  2022;Физика элементарных частиц
Почему нет консенсуса? ;Павел Амнуэль;«Троицкий вариант» №22,  2022;Физика
«Всё, что движется»: суперпозиция слоев;Дмитрий Баюк;«Троицкий вариант» №20,  2022;Физика
Под знаком жука-светляка;Пётр Петров;«Троицкий вариант» №17,  2022;Энтомология
«Пожилые были полны энтузиазма, а молодые не верили»;Евгений Беркович;«Троицкий вариант» №13,  2022;Квантовая теория
Двухэтажное торнадо;Игорь Наумов, Владимир Штерн;«Природа» №4, 2021;Физика
«Вирус», «маска» — где гарантия?;Анатолий Минеев;«Квант» №11–12, 2020;Физика
Три вида теплопередачи;Валерия Сирота;«Квантик» №7, 2022;Физика
Физика, геометрия и красота;Андрей Варламов, Жак Виллен, Аттилио Ригамонти;«Квант» №10, 2020;Физика
Удивительные фломастеры;Евгений Выродов;«Квантик» №6, 2022;Оптика
За пределами Стандартной модели суперсимметрия и суперпартнеры;Интервью Бориса Штерна с Дмитрием Казаковым;«Троицкий вариант» №22,  2022;Физика элементарных частиц
Почему нет консенсуса? ;Павел Амнуэль;«Троицкий вариант» №22,  2022;Физика
«Всё, что движется»: суперпозиция слоев;Дмитрий Баюк;«Троицкий вариант» №20,  2022;Физика
Под знаком жука-светляка;Пётр Петров;«Троицкий вариант» №17,  2022;Энтомология
«Пожилые были полны энтузиазма, а молодые не верили»;Евгений Беркович;«Троицкий вариант» №13,  2022;Квантовая теория
Двухэтажное торнадо;Игорь Наумов, Владимир Штерн;«Природа» №4, 2021;Физика
«Вирус», «маска» — где гарантия?;Анатолий Минеев;«Квант» №11–12, 2020;Физика
Три вида теплопередачи;Валерия Сирота;«Квантик» №7, 2022;Физика
Физика, геометрия и красота;Андрей Варламов, Жак Виллен, Аттилио Ригамонти;«Квант» №10, 2020;Физика
Удивительные фломастеры;Евгений Выродов;«Квантик» №6, 2022;Оптика
За пределами Стандартной модели суперсимметрия и суперпартнеры;Интервью Бориса Штерна с Дмитрием Казаковым;«Троицкий вариант» №22,  2022;Физика элементарных частиц
Почему нет консенсуса? ;Павел Амнуэль;«Троицкий вариант» №22,  2022;Физика
«Всё, что движется»: суперпозиция слоев;Дмитрий Баюк;«Троицкий вариант» №20,  2022;Физика
Под знаком жука-светляка;Пётр Петров;«Троицкий вариант» №17,  2022;Энтомология
«Пожилые были полны энтузиазма, а молодые не верили»;Евгений Беркович;«Троицкий вариант» №13,  2022;Квантовая теория
title;author;journal;science
Двухэтажное торнадо;Игорь Наумов, Владимир Штерн;«Природа» №4, 2021;Физика
«Вирус», «маска» — где гарантия?;Анатолий Минеев;«Квант» №11–12, 2020;Физика
Три вида теплопередачи;Валерия Сирота;«Квантик» №7, 2022;Физика
Физика, геометрия и красота;Андрей Варламов, Жак Виллен, Аттилио Ригамонти;«Квант» №10, 2020;Физика
Удивительные фломастеры;Евгений Выродов;«Квантик» №6, 2022;Оптика
За пределами Стандартной модели суперсимметрия и суперпартнеры;Интервью Бориса Штерна с Дмитрием Казаковым;«Троицкий вариант» №22,  2022;Физика элементарных частиц
Почему нет консенсуса? ;Павел Амнуэль;«Троицкий вариант» №22,  2022;Физика
«Всё, что движется»: суперпозиция слоев;Дмитрий Баюк;«Троицкий вариант» №20,  2022;Физика
Под знаком жука-светляка;Пётр Петров;«Троицкий вариант» №17,  2022;Энтомология
«Пожилые были полны энтузиазма, а молодые не верили»;Евгений Беркович;«Троицкий вариант» №13,  2022;Квантовая теория
Двухэтажное торнадо;Игорь Наумов, Владимир Штерн;«Природа» №4, 2021;Физика
«Вирус», «маска» — где гарантия?;Анатолий Минеев;«Квант» №11–12, 2020;Физика
Три вида теплопередачи;Валерия Сирота;«Квантик» №7, 2022;Физика
Физика, геометрия и красота;Андрей Варламов, Жак Виллен, Аттилио Ригамонти;«Квант» №10, 2020;Физика
Удивительные фломастеры;Евгений Выродов;«Квантик» №6, 2022;Оптика
За пределами Стандартной модели суперсимметрия и суперпартнеры;Интервью Бориса Штерна с Дмитрием Казаковым;«Троицкий вариант» №22,  2022;Физика элементарных частиц
Почему нет консенсуса? ;Павел Амнуэль;«Троицкий вариант» №22,  2022;Физика
«Всё, что движется»: суперпозиция слоев;Дмитрий Баюк;«Троицкий вариант» №20,  2022;Физика
Под знаком жука-светляка;Пётр Петров;«Троицкий вариант» №17,  2022;Энтомология
«Пожилые были полны энтузиазма, а молодые не верили»;Евгений Беркович;«Троицкий вариант» №13,  2022;Квантовая теория
Двухэтажное торнадо;Игорь Наумов, Владимир Штерн;«Природа» №4, 2021;Физика
«Вирус», «маска» — где гарантия?;Анатолий Минеев;«Квант» №11–12, 2020;Физика
Три вида теплопередачи;Валерия Сирота;«Квантик» №7, 2022;Физика
Физика, геометрия и красота;Андрей Варламов, Жак Виллен, Аттилио Ригамонти;«Квант» №10, 2020;Физика
Удивительные фломастеры;Евгений Выродов;«Квантик» №6, 2022;Оптика
За пределами Стандартной модели суперсимметрия и суперпартнеры;Интервью Бориса Штерна с Дмитрием Казаковым;«Троицкий вариант» №22,  2022;Физика элементарных частиц
Почему нет консенсуса? ;Павел Амнуэль;«Троицкий вариант» №22,  2022;Физика
«Всё, что движется»: суперпозиция слоев;Дмитрий Баюк;«Троицкий вариант» №20,  2022;Физика
Под знаком жука-светляка;Пётр Петров;«Троицкий вариант» №17,  2022;Энтомология
«Пожилые были полны энтузиазма, а молодые не верили»;Евгений Беркович;«Троицкий вариант» №13,  2022;Квантовая теория
Двухэтажное торнадо;Игорь Наумов, Владимир Штерн;«Природа» №4, 2021;Физика
«Вирус», «маска» — где гарантия?;Анатолий Минеев;«Квант» №11–12, 2020;Физика
Три вида теплопередачи;Валерия Сирота;«Квантик» №7, 2022;Физика
Физика, геометрия и красота;Андрей Варламов, Жак Виллен, Аттилио Ригамонти;«Квант» №10, 2020;Физика
Удивительные фломастеры;Евгений Выродов;«Квантик» №6, 2022;Оптика
За пределами Стандартной модели суперсимметрия и суперпартнеры;Интервью Бориса Штерна с Дмитрием Казаковым;«Троицкий вариант» №22,  2022;Физика элементарных частиц
Почему нет консенсуса? ;Павел Амнуэль;«Троицкий вариант» №22,  2022;Физика
«Всё, что движется»: суперпозиция слоев;Дмитрий Баюк;«Троицкий вариант» №20,  2022;Физика
Под знаком жука-светляка;Пётр Петров;«Троицкий вариант» №17,  2022;Энтомология
«Пожилые были полны энтузиазма, а молодые не верили»;Евгений Беркович;«Троицкий вариант» №13,  2022;Квантовая теория
title;author;journal;science
Двухэтажное торнадо;Игорь Наумов, Владимир Штерн;«Природа» №4, 2021;Физика
«Вирус», «маска» — где гарантия?;Анатолий Минеев;«Квант» №11–12, 2020;Физика
Три вида теплопередачи;Валерия Сирота;«Квантик» №7, 2022;Физика
Физика, геометрия и красота;Андрей Варламов, Жак Виллен, Аттилио Ригамонти;«Квант» №10, 2020;Физика
Удивительные фломастеры;Евгений Выродов;«Квантик» №6, 2022;Оптика
За пределами Стандартной модели суперсимметрия и суперпартнеры;Интервью Бориса Штерна с Дмитрием Казаковым;«Троицкий вариант» №22,  2022;Физика элементарных частиц
Почему нет консенсуса? ;Павел Амнуэль;«Троицкий вариант» №22,  2022;Физика
«Всё, что движется»: суперпозиция слоев;Дмитрий Баюк;«Троицкий вариант» №20,  2022;Физика
Под знаком жука-светляка;Пётр Петров;«Троицкий вариант» №17,  2022;Энтомология
«Пожилые были полны энтузиазма, а молодые не верили»;Евгений Беркович;«Троицкий вариант» №13,  2022;Квантовая теория
Двухэтажное торнадо;Игорь Наумов, Владимир Штерн;«Природа» №4, 2021;Физика
«Вирус», «маска» — где гарантия?;Анатолий Минеев;«Квант» №11–12, 2020;Физика
Три вида теплопередачи;Валерия Сирота;«Квантик» №7, 2022;Физика
Физика, геометрия и красота;Андрей Варламов, Жак Виллен, Аттилио Ригамонти;«Квант» №10, 2020;Физика
Удивительные фломастеры;Евгений Выродов;«Квантик» №6, 2022;Оптика
За пределами Стандартной модели суперсимметрия и суперпартнеры;Интервью Бориса Штерна с Дмитрием Казаковым;«Троицкий вариант» №22,  2022;Физика элементарных частиц
Почему нет консенсуса? ;Павел Амнуэль;«Троицкий вариант» №22,  2022;Физика
«Всё, что движется»: суперпозиция слоев;Дмитрий Баюк;«Троицкий вариант» №20,  2022;Физика
Под знаком жука-светляка;Пётр Петров;«Троицкий вариант» №17,  2022;Энтомология
«Пожилые были полны энтузиазма, а молодые не верили»;Евгений Беркович;«Троицкий вариант» №13,  2022;Квантовая теория
Двухэтажное торнадо;Игорь Наумов, Владимир Штерн;«Природа» №4, 2021;Физика
«Вирус», «маска» — где гарантия?;Анатолий Минеев;«Квант» №11–12, 2020;Физика
Три вида теплопередачи;Валерия Сирота;«Квантик» №7, 2022;Физика
Физика, геометрия и красота;Андрей Варламов, Жак Виллен, Аттилио Ригамонти;«Квант» №10, 2020;Физика
Удивительные фломастеры;Евгений Выродов;«Квантик» №6, 2022;Оптика
За пределами Стандартной модели суперсимметрия и суперпартнеры;Интервью Бориса Штерна с Дмитрием Казаковым;«Троицкий вариант» №22,  2022;Физика элементарных частиц
Почему нет консенсуса? ;Павел Амнуэль;«Троицкий вариант» №22,  2022;Физика
«Всё, что движется»: суперпозиция слоев;Дмитрий Баюк;«Троицкий вариант» №20,  2022;Физика
Под знаком жука-светляка;Пётр Петров;«Троицкий вариант» №17,  2022;Энтомология
«Пожилые были полны энтузиазма, а молодые не верили»;Евгений Беркович;«Троицкий вариант» №13,  2022;Квантовая теория
Двухэтажное торнадо;Игорь Наумов, Владимир Штерн;«Природа» №4, 2021;Физика
«Вирус», «маска» — где гарантия?;Анатолий Минеев;«Квант» №11–12, 2020;Физика
Три вида теплопередачи;Валерия Сирота;«Квантик» №7, 2022;Физика
Физика, геометрия и красота;Андрей Варламов, Жак Виллен, Аттилио Ригамонти;«Квант» №10, 2020;Физика
Удивительные фломастеры;Евгений Выродов;«Квантик» №6, 2022;Оптика
За пределами Стандартной модели суперсимметрия и суперпартнеры;Интервью Бориса Штерна с Дмитрием Казаковым;«Троицкий вариант» №22,  2022;Физика элементарных частиц
Почему нет консенсуса? ;Павел Амнуэль;«Троицкий вариант» №22,  2022;Физика
«Всё, что движется»: суперпозиция слоев;Дмитрий Баюк;«Троицкий вариант» №20,  2022;Физика
Под знаком жука-светляка;Пётр Петров;«Троицкий вариант» №17,  2022;Энтомология
«Пожилые были полны энтузиазма, а молодые не верили»;Евгений Беркович;«Троицкий вариант» №13,  2022;Квантовая теория
Двухэтажное торнадо;Игорь Наумов, Владимир Штерн;«Природа» №4, 2021;Физика
«Вирус», «маска» — где гарантия?;Анатолий Минеев;«Квант» №11–12, 2020;Физика
Три вида теплопередачи;Валерия Сирота;«Квантик» №7, 2022;Физика
Физика, геометрия и красота;Андрей Варламов, Жак Виллен, Аттилио Ригамонти;«Квант» №10, 2020;Физика
Удивительные фломастеры;Евгений Выродов;«Квантик» №6, 2022;Оптика
За пределами Стандартной модели суперсимметрия и суперпартнеры;Интервью Бориса Штерна с Дмитрием Казаковым;«Троицкий вариант» №22,  2022;Физика элементарных частиц
Почему нет консенсуса? ;Павел Амнуэль;«Троицкий вариант» №22,  2022;Физика
«Всё, что движется»: суперпозиция слоев;Дмитрий Баюк;«Троицкий вариант» №20,  2022;Физика
Под знаком жука-светляка;Пётр Петров;«Троицкий вариант» №17,  2022;Энтомология
«Пожилые были полны энтузиазма, а молодые не верили»;Евгений Беркович;«Троицкий вариант» №13,  2022;Квантовая теория
title;author;journal;science
Двухэтажное торнадо;Игорь Наумов, Владимир Штерн;«Природа» №4, 2021;Физика
«Вирус», «маска» — где гарантия?;Анатолий Минеев;«Квант» №11–12, 2020;Физика
Три вида теплопередачи;Валерия Сирота;«Квантик» №7, 2022;Физика
Физика, геометрия и красота;Андрей Варламов, Жак Виллен, Аттилио Ригамонти;«Квант» №10, 2020;Физика
Удивительные фломастеры;Евгений Выродов;«Квантик» №6, 2022;Оптика
За пределами Стандартной модели суперсимметрия и суперпартнеры;Интервью Бориса Штерна с Дмитрием Казаковым;«Троицкий вариант» №22,  2022;Физика элементарных частиц
Почему нет консенсуса? ;Павел Амнуэль;«Троицкий вариант» №22,  2022;Физика
«Всё, что движется»: суперпозиция слоев;Дмитрий Баюк;«Троицкий вариант» №20,  2022;Физика
Под знаком жука-светляка;Пётр Петров;«Троицкий вариант» №17,  2022;Энтомология
«Пожилые были полны энтузиазма, а молодые не верили»;Евгений Беркович;«Троицкий вариант» №13,  2022;Квантовая теория
Двухэтажное торнадо;Игорь Наумов, Владимир Штерн;«Природа» №4, 2021;Физика
«Вирус», «маска» — где гарантия?;Анатолий Минеев;«Квант» №11–12, 2020;Физика
Три вида теплопередачи;Валерия Сирота;«Квантик» №7, 2022;Физика
Физика, геометрия и красота;Андрей Варламов, Жак Виллен, Аттилио Ригамонти;«Квант» №10, 2020;Физика
Удивительные фломастеры;Евгений Выродов;«Квантик» №6, 2022;Оптика
За пределами Стандартной модели суперсимметрия и суперпартнеры;Интервью Бориса Штерна с Дмитрием Казаковым;«Троицкий вариант» №22,  2022;Физика элементарных частиц
Почему нет консенсуса? ;Павел Амнуэль;«Троицкий вариант» №22,  2022;Физика
«Всё, что движется»: суперпозиция слоев;Дмитрий Баюк;«Троицкий вариант» №20,  2022;Физика
Под знаком жука-светляка;Пётр Петров;«Троицкий вариант» №17,  2022;Энтомология
«Пожилые были полны энтузиазма, а молодые не верили»;Евгений Беркович;«Троицкий вариант» №13,  2022;Квантовая теория
Двухэтажное торнадо;Игорь Наумов, Владимир Штерн;«Природа» №4, 2021;Физика
«Вирус», «маска» — где гарантия?;Анатолий Минеев;«Квант» №11–12, 2020;Физика
Три вида теплопередачи;Валерия Сирота;«Квантик» №7, 2022;Физика
Физика, геометрия и красота;Андрей Варламов, Жак Виллен, Аттилио Ригамонти;«Квант» №10, 2020;Физика
Удивительные фломастеры;Евгений Выродов;«Квантик» №6, 2022;Оптика
За пределами Стандартной модели суперсимметрия и суперпартнеры;Интервью Бориса Штерна с Дмитрием Казаковым;«Троицкий вариант» №22,  2022;Физика элементарных частиц
Почему нет консенсуса? ;Павел Амнуэль;«Троицкий вариант» №22,  2022;Физика
«Всё, что движется»: суперпозиция слоев;Дмитрий Баюк;«Троицкий вариант» №20,  2022;Физика
Под знаком жука-светляка;Пётр Петров;«Троицкий вариант» №17,  2022;Энтомология
«Пожилые были полны энтузиазма, а молодые не верили»;Евгений Беркович;«Троицкий вариант» №13,  2022;Квантовая теория
Двухэтажное торнадо;Игорь Наумов, Владимир Штерн;«Природа» №4, 2021;Физика
«Вирус», «маска» — где гарантия?;Анатолий Минеев;«Квант» №11–12, 2020;Физика
Три вида теплопередачи;Валерия Сирота;«Квантик» №7, 2022;Физика
Физика, геометрия и красота;Андрей Варламов, Жак Виллен, Аттилио Ригамонти;«Квант» №10, 2020;Физика
Удивительные фломастеры;Евгений Выродов;«Квантик» №6, 2022;Оптика
За пределами Стандартной модели суперсимметрия и суперпартнеры;Интервью Бориса Штерна с Дмитрием Казаковым;«Троицкий вариант» №22,  2022;Физика элементарных частиц
Почему нет консенсуса? ;Павел Амнуэль;«Троицкий вариант» №22,  2022;Физика
«Всё, что движется»: суперпозиция слоев;Дмитрий Баюк;«Троицкий вариант» №20,  2022;Физика
Под знаком жука-светляка;Пётр Петров;«Троицкий вариант» №17,  2022;Энтомология
«Пожилые были полны энтузиазма, а молодые не верили»;Евгений Беркович;«Троицкий вариант» №13,  2022;Квантовая теория
Двухэтажное торнадо;Игорь Наумов, Владимир Штерн;«Природа» №4, 2021;Физика
«Вирус», «маска» — где гарантия?;Анатолий Минеев;«Квант» №11–12, 2020;Физика
Три вида теплопередачи;Валерия Сирота;«Квантик» №7, 2022;Физика
Физика, геометрия и красота;Андрей Варламов, Жак Виллен, Аттилио Ригамонти;«Квант» №10, 2020;Физика
Удивительные фломастеры;Евгений Выродов;«Квантик» №6, 2022;Оптика
За пределами Стандартной модели суперсимметрия и суперпартнеры;Интервью Бориса Штерна с Дмитрием Казаковым;«Троицкий вариант» №22,  2022;Физика элементарных частиц
Почему нет консенсуса? ;Павел Амнуэль;«Троицкий вариант» №22,  2022;Физика
«Всё, что движется»: суперпозиция слоев;Дмитрий Баюк;«Троицкий вариант» №20,  2022;Физика
Под знаком жука-светляка;Пётр Петров;«Троицкий вариант» №17,  2022;Энтомология
«Пожилые были полны энтузиазма, а молодые не верили»;Евгений Беркович;«Троицкий вариант» №13,  2022;Квантовая теория
Двухэтажное торнадо;Игорь Наумов, Владимир Штерн;«Природа» №4, 2021;Физика
«Вирус», «маска» — где гарантия?;Анатолий Минеев;«Квант» №11–12, 2020;Физика
Три вида теплопередачи;Валерия Сирота;«Квантик» №7, 2022;Физика
Физика, геометрия и красота;Андрей Варламов, Жак Виллен, Аттилио Ригамонти;«Квант» №10, 2020;Физика
Удивительные фломастеры;Евгений Выродов;«Квантик» №6, 2022;Оптика
За пределами Стандартной модели суперсимметрия и суперпартнеры;Интервью Бориса Штерна с Дмитрием Казаковым;«Троицкий вариант» №22,  2022;Физика элементарных частиц
Почему нет консенсуса? ;Павел Амнуэль;«Троицкий вариант» №22,  2022;Физика
«Всё, что движется»: суперпозиция слоев;Дмитрий Баюк;«Троицкий вариант» №20,  2022;Физика
Под знаком жука-светляка;Пётр Петров;«Троицкий вариант» №17,  2022;Энтомология
«Пожилые были полны энтузиазма, а молодые не верили»;Евгений Беркович;«Троицкий вариант» №13,  2022;Квантовая теория
title;author;journal;science
Двухэтажное торнадо;Игорь Наумов, Владимир Штерн;«Природа» №4, 2021;Физика
«Вирус», «маска» — где гарантия?;Анатолий Минеев;«Квант» №11–12, 2020;Физика
Три вида теплопередачи;Валерия Сирота;«Квантик» №7, 2022;Физика
Физика, геометрия и красота;Андрей Варламов, Жак Виллен, Аттилио Ригамонти;«Квант» №10, 2020;Физика
Удивительные фломастеры;Евгений Выродов;«Квантик» №6, 2022;Оптика
За пределами Стандартной модели суперсимметрия и суперпартнеры;Интервью Бориса Штерна с Дмитрием Казаковым;«Троицкий вариант» №22,  2022;Физика элементарных частиц
Почему нет консенсуса? ;Павел Амнуэль;«Троицкий вариант» №22,  2022;Физика
«Всё, что движется»: суперпозиция слоев;Дмитрий Баюк;«Троицкий вариант» №20,  2022;Физика
Под знаком жука-светляка;Пётр Петров;«Троицкий вариант» №17,  2022;Энтомология
«Пожилые были полны энтузиазма, а молодые не верили»;Евгений Беркович;«Троицкий вариант» №13,  2022;Квантовая теория
Двухэтажное торнадо;Игорь Наумов, Владимир Штерн;«Природа» №4, 2021;Физика
«Вирус», «маска» — где гарантия?;Анатолий Минеев;«Квант» №11–12, 2020;Физика
Три вида теплопередачи;Валерия Сирота;«Квантик» №7, 2022;Физика
Физика, геометрия и красота;Андрей Варламов, Жак Виллен, Аттилио Ригамонти;«Квант» №10, 2020;Физика
Удивительные фломастеры;Евгений Выродов;«Квантик» №6, 2022;Оптика
За пределами Стандартной модели суперсимметрия и суперпартнеры;Интервью Бориса Штерна с Дмитрием Казаковым;«Троицкий вариант» №22,  2022;Физика элементарных частиц
Почему нет консенсуса? ;Павел Амнуэль;«Троицкий вариант» №22,  2022;Физика
«Всё, что движется»: суперпозиция слоев;Дмитрий Баюк;«Троицкий вариант» №20,  2022;Физика
Под знаком жука-светляка;Пётр Петров;«Троицкий вариант» №17,  2022;Энтомология
«Пожилые были полны энтузиазма, а молодые не верили»;Евгений Беркович;«Троицкий вариант» №13,  2022;Квантовая теория
Двухэтажное торнадо;Игорь Наумов, Владимир Штерн;«Природа» №4, 2021;Физика
«Вирус», «маска» — где гарантия?;Анатолий Минеев;«Квант» №11–12, 2020;Физика
Три вида теплопередачи;Валерия Сирота;«Квантик» №7, 2022;Физика
Физика, геометрия и красота;Андрей Варламов, Жак Виллен, Аттилио Ригамонти;«Квант» №10, 2020;Физика
Удивительные фломастеры;Евгений Выродов;«Квантик» №6, 2022;Оптика
За пределами Стандартной модели суперсимметрия и суперпартнеры;Интервью Бориса Штерна с Дмитрием Казаковым;«Троицкий вариант» №22,  2022;Физика элементарных частиц
Почему нет консенсуса? ;Павел Амнуэль;«Троицкий вариант» №22,  2022;Физика
«Всё, что движется»: суперпозиция слоев;Дмитрий Баюк;«Троицкий вариант» №20,  2022;Физика
Под знаком жука-светляка;Пётр Петров;«Троицкий вариант» №17,  2022;Энтомология
«Пожилые были полны энтузиазма, а молодые не верили»;Евгений Беркович;«Троицкий вариант» №13,  2022;Квантовая теория
Двухэтажное торнадо;Игорь Наумов, Владимир Штерн;«Природа» №4, 2021;Физика
«Вирус», «маска» — где гарантия?;Анатолий Минеев;«Квант» №11–12, 2020;Физика
Три вида теплопередачи;Валерия Сирота;«Квантик» №7, 2022;Физика
Физика, геометрия и красота;Андрей Варламов, Жак Виллен, Аттилио Ригамонти;«Квант» №10, 2020;Физика
Удивительные фломастеры;Евгений Выродов;«Квантик» №6, 2022;Оптика
За пределами Стандартной модели суперсимметрия и суперпартнеры;Интервью Бориса Штерна с Дмитрием Казаковым;«Троицкий вариант» №22,  2022;Физика элементарных частиц
Почему нет консенсуса? ;Павел Амнуэль;«Троицкий вариант» №22,  2022;Физика
